"JTS" "ING" "EDU" "DIS" "SEM" "EMP" "PAS" "IPR" "zona"
"1" 101 9 3 12 41 5 65.21 1172.02 "D"
"2" 101 7 2 12 24 6 74.95 1456.02 "D"
"3" 102 4 3 14 46 2 73.06 792.9 "C"
"4" 106 2 5 10 58 3 72.5 670.56 "A"
"5" 109 5 4 15 53 2 68.02 230.18 "C"
"6" 109 1 4 12 29 3 70.62 848.9 "C"
"7" 112 6 1 13 56 3 73.7 1849.21 "A"
"8" 114 7 3 10 25 4 73.78 1521.02 "A"
"9" 115 6 3 13 56 7 73.91 794.03 "C"
"10" 115 6 3 11 52 5 69.93 1841.13 "D"
"11" 116 7 2 11 41 2 68.55 1117.68 "C"
"12" 119 2 4 10 25 2 65.35 1217.21 "C"
"13" 125 3 1 13 20 5 72.27 1158.29 "C"
"14" 128 6 5 13 36 5 70.2 274.77 "D"
"15" 129 7 2 10 29 4 67.13 175.58 "D"
"16" 132 9 2 11 21 5 67.53 1425.49 "D"
"17" 137 5 5 13 44 7 74.71 1768.38 "D"
"18" 141 8 4 12 42 4 68.43 1582.89 "C"
"19" 141 8 2 15 51 7 70.28 1131.37 "A"
"20" 142 9 5 11 21 4 67.34 492.51 "D"
"21" 144 7 4 12 28 6 71.84 1012.72 "D"
"22" 145 7 4 10 39 2 66.77 1501.3 "D"
"23" 147 7 2 11 30 4 66.68 2059.43 "B"
"24" 155 6 3 13 31 6 74.45 758.11 "D"
"25" 161 8 4 14 45 4 73.18 1223.03 "D"
"26" 161 3 5 12 35 3 74.49 204.83 "D"
"27" 161 7 3 10 23 4 73.88 1763.59 "C"
"28" 169 7 3 13 48 2 73.1 1416.17 "D"
"29" 170 7 2 14 23 4 70.22 1764.25 "A"
"30" 182 6 3 14 54 2 68.22 1141.81 "B"
"31" 194 5 5 10 42 6 71.46 950.82 "B"
"32" 204 8 3 13 32 6 66.95 1465.86 "B"
"33" 208 1 3 12 59 4 74.78 504.11 "A"
"34" 210 3 4 15 46 6 70.74 1640.3 "C"
"35" 212 5 4 13 49 7 68.49 2222.86 "A"
"36" 215 7 3 12 33 5 68.92 1491.72 "C"
"37" 215 6 4 15 37 3 66.76 1170.92 "C"
"38" 216 5 2 12 52 5 65 922.61 "B"
"39" 222 9 5 14 54 6 65.23 1514.83 "D"
"40" 227 4 3 13 33 4 73.3 400.08 "B"
"41" 230 7 3 12 20 2 66.05 246.21 "B"
"42" 231 4 3 12 57 3 69.01 1680.09 "B"
"43" 238 9 4 13 54 5 74.3 450.96 "C"
"44" 239 9 2 12 57 3 66.28 1012.77 "C"
"45" 239 6 3 12 38 5 66.59 1680.29 "A"
"46" 240 6 2 14 24 6 73.84 994.54 "A"
"47" 241 6 1 14 25 6 65.14 1189.4 "A"
"48" 242 7 4 14 49 5 67.44 1453.16 "C"
"49" 242 10 1 11 56 3 68.31 797.15 "A"
"50" 244 5 1 14 38 7 68.78 1561.67 "B"
"51" 247 2 4 12 51 5 68.82 1621.61 "B"
"52" 249 8 1 11 55 5 69.95 1420.76 "B"
"53" 252 4 2 15 42 6 74.7 476.22 "B"
"54" 255 6 2 13 22 5 67.46 1366.42 "C"
"55" 256 5 4 12 52 5 65.72 1048.74 "B"
"56" 258 3 2 10 21 4 68.6 810.59 "D"
"57" 271 2 2 10 40 3 69.72 1241 "D"
"58" 274 8 2 13 51 4 66.05 1113.96 "A"
"59" 274 2 4 14 39 4 70.62 1548.4 "C"
"60" 274 7 4 14 60 6 65.71 1068.04 "A"
"61" 277 15 3 12 32 4 75.61 1530.24 "A"
"62" 278 14 5 9 22 2 73.54 964.02 "D"
"63" 284 15 4 9 44 3 71.15 787.25 "B"
"64" 298 12 4 9 27 4 74.54 932.43 "A"
"65" 301 13 3 11 44 5 71.79 2232.44 "C"
"66" 303 20 4 8 35 3 72.87 677.03 "A"
"67" 312 20 4 8 29 3 75.85 1367.53 "D"
"68" 317 8 6 10 48 5 78.93 1061.97 "D"
"69" 318 20 4 13 40 4 73.1 811.79 "B"
"70" 322 17 3 9 41 4 79.82 866.18 "C"
"71" 328 12 3 10 28 5 75.58 1803.1 "C"
"72" 329 9 3 11 43 3 79.73 486.95 "A"
"73" 331 19 6 9 33 5 76.98 1932.13 "B"
"74" 335 9 6 8 60 4 76.24 299.46 "D"
"75" 336 19 3 11 47 3 76.33 1071.9 "A"
"76" 336 10 3 10 53 5 72.34 1279.63 "D"
"77" 338 16 6 9 33 6 75.25 785.5 "D"
"78" 341 15 5 9 50 5 78.36 1422.72 "B"
"79" 343 12 5 9 45 2 78.6 1068.32 "D"
"80" 347 9 3 13 54 5 74.73 1111.84 "B"
"81" 348 13 5 9 26 2 77.09 1116.85 "A"
"82" 355 11 5 10 58 6 73.73 1130.72 "C"
"83" 358 21 4 13 48 4 76.36 1969.83 "D"
"84" 359 12 3 11 33 3 77.43 1576.29 "D"
"85" 364 17 3 9 22 4 70.11 1154.24 "A"
"86" 365 19 5 10 59 2 75.74 952.14 "B"
"87" 366 10 5 9 41 3 75.38 1148.42 "D"
"88" 367 20 2 9 50 5 74.9 1488.14 "B"
"89" 375 9 5 8 32 5 73.58 928.75 "B"
"90" 376 10 5 8 29 5 72.19 676.86 "C"
"91" 385 18 2 9 44 6 73.09 1066.07 "C"
"92" 386 13 3 11 50 2 79.93 1099.79 "A"
"93" 387 19 4 11 21 4 77.08 629.88 "B"
"94" 391 12 5 11 31 6 72.14 1320.41 "C"
"95" 392 17 5 8 37 5 74.6 513.98 "A"
"96" 396 12 3 10 56 3 77.63 1634.36 "C"
"97" 399 10 6 12 54 6 74.99 636.84 "A"
"98" 400 17 3 11 37 4 74.45 1117.29 "C"
"99" 402 10 3 11 30 6 75.29 1966.46 "C"
"100" 405 16 2 13 39 4 78.51 1764.7 "C"
"101" 408 12 4 13 56 4 75.9 1339.98 "A"
"102" 413 13 4 12 34 3 71.59 854.53 "C"
"103" 414 12 4 12 49 4 73.25 1098.26 "B"
"104" 414 18 5 9 51 6 78.5 661.69 "D"
"105" 416 10 4 8 47 5 73.22 1767.97 "A"
"106" 418 20 2 10 26 3 75.09 1110.45 "B"
"107" 418 10 3 12 38 5 77.08 2397.2 "C"
"108" 420 9 2 8 47 5 78.93 1060.09 "D"
"109" 422 14 3 13 27 7 76.96 819.39 "D"
"110" 422 10 5 9 45 3 75.81 495.11 "D"
"111" 424 18 3 12 29 6 70.6 1242.44 "B"
"112" 428 15 2 10 48 2 77.08 763.11 "D"
"113" 428 13 3 11 59 7 78.12 1119.05 "D"
"114" 429 9 4 12 44 3 74.74 1310.61 "B"
"115" 429 9 4 11 36 6 71.33 1103.72 "A"
"116" 435 13 5 10 58 7 74 1401.76 "B"
"117" 436 17 3 8 43 4 71.79 518.65 "D"
"118" 436 15 2 11 44 7 78.67 1420.13 "A"
"119" 442 11 5 12 25 5 73.97 2387.5 "B"
"120" 448 18 2 8 53 4 73.44 1403.71 "B"
"121" 450 19 4 9 32 5 79.67 499.88 "C"
"122" 451 20 5 9 34 3 78.15 468.82 "A"
"123" 454 26 5 9 22 2 83.1 1033.33 "B"
"124" 460 28 5 9 34 6 83.9 849.19 "D"
"125" 462 25 6 6 45 2 77.5 1274.17 "B"
"126" 465 25 5 6 39 3 78.47 1128.25 "A"
"127" 478 24 4 8 42 3 75.16 1149.15 "D"
"128" 484 19 7 10 44 5 77.43 1235.06 "A"
"129" 492 21 3 7 45 5 81.26 1130.19 "D"
"130" 494 28 6 10 58 3 81.86 1946.1 "A"
"131" 494 19 6 7 35 6 75.13 819.1 "D"
"132" 500 31 4 10 21 7 75.05 645.71 "A"
"133" 506 23 4 10 52 5 79.05 615.02 "C"
"134" 511 29 5 9 55 3 78.63 1710.73 "B"
"135" 513 28 4 9 49 5 80.25 1706.04 "B"
"136" 526 20 3 10 22 5 77.47 1383.89 "B"
"137" 534 21 5 11 50 6 80.35 999.83 "D"
"138" 542 30 6 10 28 7 75.21 1144.83 "D"
"139" 547 18 5 8 45 7 80.59 1513.18 "A"
"140" 550 18 6 8 27 4 82.98 1777.87 "B"
"141" 553 24 4 6 40 4 78.8 1910.97 "B"
"142" 557 30 6 10 55 5 76.36 1240.5 "D"
"143" 558 24 7 8 32 2 75.22 1608.19 "A"
"144" 562 25 4 8 56 5 82.59 2150.63 "A"
"145" 562 27 5 9 26 6 79.94 1767.02 "C"
"146" 564 27 4 11 43 6 84.74 1279 "A"
"147" 571 20 6 11 32 2 82.7 1482.81 "D"
"148" 573 21 6 9 35 4 83.66 844.72 "C"
"149" 579 29 4 8 39 4 76.47 1083.42 "C"
"150" 581 24 6 9 37 4 84.26 611.45 "C"
"151" 582 27 5 10 45 7 77.92 579.86 "A"
"152" 590 19 4 11 40 5 82.84 2337.18 "B"
"153" 595 25 5 8 27 5 79.67 1924.78 "C"
"154" 600 19 4 6 36 5 77.35 980.21 "C"
"155" 604 20 4 10 39 3 79 1387.78 "C"
"156" 605 27 4 10 44 4 84.47 1417.63 "A"
"157" 610 25 4 11 57 4 75.95 842.24 "D"
"158" 610 26 7 9 23 2 79.3 678.55 "B"
"159" 611 23 4 10 27 5 80.46 595.72 "A"
"160" 611 20 5 10 31 7 79.91 2009.39 "C"
"161" 611 23 6 9 32 5 83.79 1859.66 "D"
"162" 615 26 6 10 51 4 78.66 324.65 "C"
"163" 616 23 6 10 22 4 76.48 1019.77 "A"
"164" 618 20 4 8 41 4 81.39 1737.68 "B"
"165" 628 21 6 10 49 4 83.46 1886.58 "A"
"166" 634 24 5 6 59 6 84.9 1181.67 "A"
"167" 635 29 4 8 46 3 76.92 1752.45 "C"
"168" 641 29 7 11 27 5 81.58 1525.64 "B"
"169" 642 25 3 6 38 7 76.1 1209.95 "C"
"170" 643 20 3 8 35 6 78.25 1506.48 "A"
"171" 644 19 6 8 53 3 77.64 1405.51 "D"
"172" 645 24 4 9 24 3 78.94 1933.09 "D"
"173" 645 22 4 8 32 6 79.46 1420.6 "A"
"174" 654 22 6 8 47 6 76.1 916.2 "A"
"175" 655 21 6 9 39 2 81.28 1023.1 "C"
"176" 656 29 5 9 52 5 79.12 724.66 "A"
"177" 659 23 6 6 33 3 78.94 2126.19 "C"
"178" 660 20 5 9 30 4 78.42 834.48 "A"
"179" 662 28 6 8 24 7 80.24 -101.2 "C"
"180" 665 27 7 8 55 3 81.11 1943.63 "A"
"181" 665 32 6 6 30 5 81.99 1611.69 "D"
"182" 665 41 7 9 38 3 88.86 1392.45 "B"
"183" 669 38 5 7 51 3 89.47 507.84 "A"
"184" 670 30 7 5 30 2 88.47 861.29 "B"
"185" 678 30 7 9 49 4 80.19 1264.93 "A"
"186" 682 35 4 6 48 7 80.85 1086.71 "A"
"187" 682 40 4 9 40 5 81.16 1083.02 "C"
"188" 683 40 7 7 59 5 84.51 858.2 "B"
"189" 684 41 6 7 24 6 88.13 1267.76 "A"
"190" 684 31 6 7 29 5 82.57 1849.28 "D"
"191" 692 29 5 8 49 6 83.77 1420.62 "B"
"192" 695 32 5 6 43 6 80.65 1556.09 "B"
"193" 695 40 8 7 32 4 84.25 916.55 "D"
"194" 700 34 5 6 45 6 82.68 1720.3 "D"
"195" 702 29 4 5 39 4 87.34 1572.81 "A"
"196" 703 29 5 8 24 3 85.47 305.79 "B"
"197" 704 33 7 6 28 5 85.09 1605.51 "C"
"198" 707 29 6 9 46 6 83.99 1178.28 "A"
"199" 709 36 4 9 57 6 85.6 1371.15 "C"
"200" 712 29 7 9 37 5 85.39 1402.98 "B"
"201" 714 38 4 9 52 5 85.07 1251.93 "A"
"202" 723 37 5 6 44 4 81.67 2527.92 "B"
"203" 723 38 7 6 34 5 89.28 1147.38 "B"
"204" 727 36 6 5 36 5 87.39 1797.64 "A"
"205" 739 34 7 7 36 7 88.84 568.63 "A"
"206" 741 30 7 4 25 3 80.79 1042.37 "C"
"207" 745 28 6 5 32 3 88.92 400.39 "C"
"208" 746 38 5 5 59 6 83.65 1118.54 "C"
"209" 747 37 6 5 34 3 81.71 2408.24 "D"
"210" 749 34 8 7 30 5 80.38 1387.29 "A"
"211" 750 29 7 7 53 3 86.88 2440.34 "B"
"212" 755 38 7 9 34 4 86.48 1918.91 "B"
"213" 757 29 7 7 22 2 80.7 813.41 "C"
"214" 758 36 5 5 46 6 87.28 1062.9 "B"
"215" 759 38 4 4 33 2 89.37 804.62 "C"
"216" 760 32 7 5 34 5 80.03 1051.78 "A"
"217" 760 32 4 7 44 4 87.84 841.59 "D"
"218" 766 33 8 6 22 5 88.89 761.97 "C"
"219" 770 34 6 6 47 4 81.93 1589.14 "B"
"220" 772 32 5 5 57 6 86.16 1496.53 "B"
"221" 775 38 5 6 57 7 86.95 1972.21 "C"
"222" 776 38 6 6 39 5 83.91 1834.87 "D"
"223" 785 33 4 7 36 4 88.35 1361.97 "B"
"224" 791 31 6 5 26 5 80.64 1968.91 "A"
"225" 794 36 5 7 37 2 87.09 1302.98 "A"
"226" 800 31 6 7 48 6 85.33 1423.78 "A"
"227" 802 28 6 8 60 6 80.79 2095.95 "C"
"228" 805 30 7 7 59 4 85.86 97.56 "D"
"229" 808 32 5 7 32 6 87.22 1353.51 "A"
"230" 810 34 4 5 34 5 85.52 1187.76 "B"
"231" 813 37 4 5 46 2 86.11 1165.01 "B"
"232" 814 30 5 8 28 5 80.59 2277.95 "A"
"233" 816 40 5 4 39 7 80.7 611.84 "D"
"234" 817 41 7 8 23 3 86.03 1767.75 "C"
"235" 820 29 8 5 44 7 81.66 574 "A"
"236" 824 32 6 7 51 2 86.44 1211.63 "B"
"237" 825 32 7 7 28 6 81.31 312.38 "B"
"238" 826 33 7 8 57 4 89.66 1024.85 "B"
"239" 827 39 7 6 48 5 81.91 1563.69 "A"
"240" 830 40 6 7 40 5 86.77 1298.32 "A"
"241" 830 42 6 6 37 5 91.55 1158.09 "D"
"242" 834 49 9 3 41 7 89.88 1790.85 "B"
"243" 838 42 6 3 24 7 91.47 1138.72 "B"
"244" 838 48 9 4 43 7 94.04 1865.43 "D"
"245" 841 43 9 6 37 5 94.63 638.27 "B"
"246" 842 42 9 4 30 6 90.15 1479.31 "A"
"247" 843 48 5 3 24 3 91.88 1779.71 "B"
"248" 847 47 7 7 21 2 86.72 569.45 "D"
"249" 851 42 9 6 26 7 87.05 1879.68 "B"
"250" 855 48 10 2 39 4 85.53 799.82 "A"
"251" 856 49 9 6 50 3 88.17 1258.03 "C"
"252" 856 45 10 3 33 5 88.21 1064.58 "B"
"253" 858 40 9 6 29 4 90.36 501.03 "D"
"254" 861 44 10 7 32 5 91.29 2247.72 "B"
"255" 863 45 5 4 42 7 92.74 1256.19 "A"
"256" 863 42 7 2 29 7 85.1 621.81 "D"
"257" 864 40 6 5 49 5 87.53 1784.73 "A"
"258" 868 40 9 2 22 5 88.07 1709.75 "A"
"259" 868 45 7 5 45 6 93.34 1234.72 "A"
"260" 873 42 9 6 25 6 87.98 1332.78 "C"
"261" 874 42 8 2 24 7 89.04 1971.42 "D"
"262" 878 41 6 4 24 3 86.24 1202.96 "C"
"263" 883 44 6 2 23 3 88.98 1301.13 "B"
"264" 886 40 10 3 27 6 90.75 1546.65 "B"
"265" 887 47 8 4 24 5 89.99 1696.31 "A"
"266" 887 46 7 3 49 7 89.64 622.34 "A"
"267" 888 40 9 6 31 6 87.09 1761.84 "B"
"268" 889 38 6 5 24 6 86.25 1349.74 "A"
"269" 893 47 9 6 49 4 89.88 928.34 "B"
"270" 894 40 6 4 31 3 90.66 1651.83 "A"
"271" 898 49 5 2 54 5 92.31 1197.29 "B"
"272" 904 39 7 7 35 3 86.32 1466.63 "A"
"273" 912 50 7 5 47 5 94.98 533.18 "A"
"274" 914 38 7 6 57 6 85.81 823.26 "B"
