"JTS" "ING" "EDU" "DIS" "SEM" "EMP" "PAS" "IPR" "zona"
"1" 104 7 5 12 46 2 65.38 1085.55 "D"
"2" 107 6 3 15 31 4 71.46 680.55 "D"
"3" 152 7 5 10 51 4 69.75 474.06 "D"
"4" 158 5 5 13 23 6 71.7 1015.25 "D"
"5" 164 3 4 11 34 5 72.71 755.52 "A"
"6" 170 9 4 10 28 4 68.98 1925.32 "C"
"7" 180 4 1 13 26 2 72.31 1357.45 "A"
"8" 211 5 4 11 42 7 65.55 548.02 "A"
"9" 235 8 4 12 44 2 72.37 1135.68 "A"
"10" 248 7 4 11 30 7 71.38 2193.75 "C"
"11" 261 8 2 13 45 7 73.28 1219.26 "C"
"12" 262 2 3 11 21 6 74.31 1671.97 "A"
"13" 263 10 3 15 53 4 74.31 1218.11 "C"
"14" 264 8 2 15 51 3 72.67 788.39 "C"
"15" 274 9 1 11 25 6 65.22 1523.41 "A"
"16" 279 9 3 12 35 2 68.53 1361.09 "B"
"17" 297 10 5 12 40 4 68.51 1164.59 "B"
"18" 307 1 2 12 33 6 74.14 118.38 "A"
"19" 348 3 2 13 53 4 71.63 1334.25 "D"
"20" 373 10 2 11 26 3 69.14 1168.55 "C"
"21" 374 15 4 10 51 4 71.06 2382.81 "B"
"22" 380 16 3 9 36 4 73.51 1666.79 "A"
"23" 380 16 4 12 48 6 74.55 245.14 "D"
"24" 397 15 6 11 38 4 76.23 1105.13 "C"
"25" 426 20 6 9 58 6 77.85 1406.76 "C"
"26" 430 15 5 9 39 4 79.67 674.11 "D"
"27" 443 8 6 11 52 4 79.37 1418.38 "C"
"28" 452 12 3 13 51 6 70.4 1226.58 "D"
"29" 469 21 3 8 49 5 78.78 2829.66 "D"
"30" 482 18 5 8 26 7 73.83 862.31 "A"
"31" 488 15 6 11 60 3 76.39 1102.15 "A"
"32" 495 10 2 9 35 3 74 1152.24 "D"
"33" 499 9 4 12 38 4 77.44 1498.16 "A"
"34" 502 12 4 8 60 7 75.36 2216.13 "D"
"35" 503 9 4 10 48 4 74.75 822.79 "B"
"36" 506 14 5 9 53 7 71.55 514.26 "C"
"37" 524 17 2 12 38 7 70.25 1856.8 "A"
"38" 532 20 2 11 23 2 77.49 1249.08 "C"
"39" 533 15 6 11 47 6 70.78 2882.14 "C"
"40" 533 8 6 12 27 3 79.94 416.61 "D"
"41" 555 30 6 10 53 6 82.39 1240.14 "A"
"42" 558 26 3 9 54 7 80.94 698.59 "D"
"43" 576 31 6 8 56 5 79.91 1787.62 "D"
"44" 592 30 5 10 38 3 82.47 867.11 "B"
"45" 595 24 6 9 47 5 82.15 576.46 "C"
"46" 596 28 6 8 48 4 80.27 1160.35 "C"
"47" 615 31 4 11 34 6 81.19 2167.69 "A"
"48" 625 22 5 8 32 7 82.75 1943.07 "B"
"49" 625 29 4 11 24 6 85 765.23 "A"
"50" 629 25 3 11 46 4 78.5 743.99 "D"
"51" 629 26 5 10 27 5 79.16 1598.09 "C"
"52" 641 21 4 10 29 3 75.53 1469.72 "C"
"53" 659 21 5 8 28 2 76.81 925.77 "A"
"54" 666 21 5 8 58 5 84.87 1090.44 "B"
"55" 668 21 7 6 35 6 75.2 615.66 "B"
"56" 682 20 3 9 30 5 84.61 753.24 "D"
"57" 699 30 7 8 40 3 78.06 635.25 "A"
"58" 704 25 7 11 53 5 82.39 1442.28 "A"
"59" 707 30 4 7 45 5 75.95 1821.87 "B"
"60" 724 31 6 8 37 7 79.82 868.59 "A"
"61" 732 38 6 6 25 3 88.19 1351.88 "D"
"62" 736 29 4 7 30 6 88.86 1574.95 "D"
"63" 738 37 6 7 44 6 85.81 1653.62 "D"
"64" 743 37 6 5 31 6 89.73 990.62 "A"
"65" 746 32 6 8 56 6 86.95 1461.18 "C"
"66" 749 37 6 8 32 7 89.95 670.61 "A"
"67" 757 37 8 8 38 2 84.36 1182.38 "B"
"68" 765 36 5 8 44 6 84.82 1040.37 "D"
"69" 777 39 8 4 47 3 85.96 1387.87 "C"
"70" 784 39 8 7 25 4 80.09 702.24 "D"
"71" 789 39 6 7 48 7 81.64 1101.43 "A"
"72" 793 39 7 6 29 5 86.27 1149.13 "A"
"73" 806 30 4 5 33 3 81.76 1003.14 "C"
"74" 807 34 7 6 31 5 83.41 1002.77 "B"
"75" 815 37 5 6 56 7 84.45 1233.69 "D"
"76" 835 31 6 9 35 5 81.27 1545.2 "C"
"77" 838 31 5 4 26 7 87.07 974.69 "A"
"78" 839 36 4 8 32 5 82.62 1705.19 "C"
"79" 850 37 6 5 44 2 80.75 2058.6 "C"
"80" 852 29 7 8 21 2 88.79 1655.03 "A"
"81" 865 48 8 7 57 7 94.05 1688.4 "D"
"82" 866 50 10 7 49 3 91.1 1417.04 "B"
"83" 867 44 9 3 29 6 92.07 1003.07 "D"
"84" 876 46 7 4 55 2 94.89 374.97 "B"
"85" 904 40 8 4 50 4 89.89 920.62 "B"
"86" 906 39 6 3 39 7 89.2 1690.52 "A"
"87" 933 41 9 2 44 7 85.64 767.93 "C"
"88" 938 48 8 3 45 3 91.92 1581.74 "B"
"89" 944 38 6 5 55 6 91.8 1918.68 "C"
"90" 951 41 8 6 22 5 88.11 1546.57 "B"
"91" 955 41 6 3 51 3 85.55 1261.06 "B"
"92" 956 45 7 2 32 6 91.08 1372.67 "A"
"93" 959 42 9 2 23 6 86.06 1053.08 "A"
"94" 973 48 7 3 22 4 86.37 813.42 "D"
"95" 974 43 6 2 51 3 93.16 901.48 "D"
"96" 984 46 5 4 47 7 89.85 716.06 "A"
"97" 991 39 7 5 37 5 94.83 1351.97 "A"
"98" 993 43 9 7 49 3 87.48 709.64 "A"
"99" 995 47 9 7 40 5 92.14 314.42 "B"
"100" 999 47 8 4 56 5 92.69 1346.71 "B"
